LoginTime,LogoffTime,UserName,DomainName,IP,备注
-,"Mar 7, 2022 @ 16:47:08.813",Renee.Pan,VERSACE,-,
-,"Mar 7, 2022 @ 21:05:25.363",Steven.Wangye,VERSACE,-,
-,"Mar 7, 2022 @ 22:42:14.590",Stella.Liu,VERSACE,-,
-,"Mar 8, 2022 @ 00:12:42.866",kate.wang,VERSACE,-,
-,"Mar 8, 2022 @ 01:31:50.367",Yui.Chen,VERSACE,-,
-,"Mar 8, 2022 @ 01:49:22.486",Shannon.Wu,VERSACE,-,
-,"Mar 8, 2022 @ 02:06:33.626",rebecca.jiang,VERSACE,-,
-,"Mar 8, 2022 @ 02:18:06.366",ginny.cheng,VERSACE,-,
-,"Mar 8, 2022 @ 03:21:15.973",Philip.Yang,VERSACE,-,
-,"Mar 8, 2022 @ 04:15:09.094",Luna.Sun,VERSACE,-,
-,"Mar 8, 2022 @ 07:32:02.604",Jasmine.Zhang,VERSACE,-,
-,"Mar 8, 2022 @ 13:30:59.235",Effy.Yin,VERSACE,-,
-,"Mar 8, 2022 @ 15:39:12.119",adm_admt,VERSACE,-,
-,"Mar 8, 2022 @ 20:32:41.572",Alfred.Gao,VERSACE,-,
-,"Mar 9, 2022 @ 11:06:51.935",Vickie.Li,VERSACE,-,
"Mar 8, 2022 @ 00:00:02.493","Mar 8, 2022 @ 08:09:33.262",bin.zeng,VERSACE,10.86.9.130,
"Mar 8, 2022 @ 00:07:38.226","Mar 8, 2022 @ 00:21:38.387",Karen.Zhang,VERSACE,10.86.3.228,
"Mar 8, 2022 @ 00:11:31.090","Mar 8, 2022 @ 00:32:22.811",Stella.Liu,VERSACE,10.86.3.223,
"Mar 8, 2022 @ 00:22:35.374","Mar 8, 2022 @ 01:32:12.066",Karen.Zhang,VERSACE,10.86.3.228,
"Mar 8, 2022 @ 00:38:15.623","Mar 8, 2022 @ 00:42:35.895",kate.wang,VERSACE,10.86.9.129,
"Mar 8, 2022 @ 00:41:24.291","Mar 8, 2022 @ 00:57:08.019",Jenny.Lai,VERSACE,10.86.9.121,
"Mar 8, 2022 @ 00:46:43.515","Mar 8, 2022 @ 08:49:37.647",jiajie.wu,VERSACE,10.86.3.179,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 00:48:55.835","Mar 8, 2022 @ 15:49:08.298",leo.liu,VERSACE,10.86.1.180,
"Mar 8, 2022 @ 01:04:59.204","Mar 8, 2022 @ 01:42:53.402",Jenny.Lai,VERSACE,10.86.9.121,
"Mar 8, 2022 @ 01:07:44.206","Mar 8, 2022 @ 01:32:35.888",pamela.qin,VERSACE,10.86.3.101,
"Mar 8, 2022 @ 01:12:05.352","Mar 8, 2022 @ 01:12:26.771",PC014821501457$,VERSACE,10.86.3.212,
"Mar 8, 2022 @ 01:15:08.403","Mar 8, 2022 @ 03:56:05.810",Stella.Liu,VERSACE,10.86.3.223,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 01:16:41.848","Mar 8, 2022 @ 06:04:39.029",jenny.chen,VERSACE,10.86.3.203,
"Mar 8, 2022 @ 01:17:50.161","Mar 8, 2022 @ 02:40:42.545",kate.wang,VERSACE,10.86.9.129,
"Mar 8, 2022 @ 01:18:00.785","Mar 8, 2022 @ 01:56:13.028",amanda.su,VERSACE,10.86.3.229,
"Mar 8, 2022 @ 01:20:31.419","Mar 8, 2022 @ 11:03:33.467",Ryan.Su,VERSACE,10.86.3.214,
"Mar 8, 2022 @ 01:20:38.938","Mar 8, 2022 @ 01:25:09.865",Susan.Ni,VERSACE,10.86.3.104,
"Mar 8, 2022 @ 01:21:44.100","Mar 8, 2022 @ 07:50:59.992",raymond.zhao,VERSACE,10.86.3.111,
"Mar 8, 2022 @ 01:21:52.742","Mar 8, 2022 @ 10:27:57.049",Winters.Shen,VERSACE,10.86.3.82,
"Mar 8, 2022 @ 01:21:53.179","Mar 8, 2022 @ 06:06:08.699",finance.intern,VERSACE,10.86.3.135,
"Mar 8, 2022 @ 01:22:05.737","Mar 8, 2022 @ 01:37:38.358",Lily.Ren,VERSACE,10.86.3.123,
"Mar 8, 2022 @ 01:22:47.561","Mar 8, 2022 @ 01:23:30.321",mk.vpnuser1,VERSACE,10.86.1.184,
"Mar 8, 2022 @ 01:23:20.228","Mar 9, 2022 @ 10:48:31.082",charles.huang,VERSACE,10.86.3.182,
"Mar 8, 2022 @ 01:23:30.321","Mar 8, 2022 @ 05:15:52.669",mk.vpnuser1,VERSACE,10.86.1.184,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 01:24:23.970","Mar 8, 2022 @ 01:42:08.396",Steven.Wangye,VERSACE,10.86.3.84,
"Mar 8, 2022 @ 01:24:41.582","Mar 8, 2022 @ 01:24:52.284",PC014821501457$,VERSACE,10.86.3.212,
"Mar 8, 2022 @ 01:25:21.347","Mar 8, 2022 @ 01:45:53.427",Susan.Ni,VERSACE,10.86.3.104,
"Mar 8, 2022 @ 01:26:18.194","Mar 8, 2022 @ 03:43:36.225",Silvia.Chang,VERSACE,10.86.3.140,
"Mar 8, 2022 @ 01:27:27.443","Mar 8, 2022 @ 01:48:03.191",Frances.Cao,VERSACE,10.86.3.128,
"Mar 8, 2022 @ 01:29:13.492","Mar 8, 2022 @ 01:45:57.359",Iris.zhang,VERSACE,10.86.3.211,
"Mar 8, 2022 @ 01:29:32.680","Mar 8, 2022 @ 05:45:22.469",Terence.Zou,VERSACE,10.86.3.110,
"Mar 8, 2022 @ 01:30:07.671","Mar 9, 2022 @ 03:03:56.635",yasmine.feng,VERSACE,10.86.3.167,
"Mar 8, 2022 @ 01:33:09.319","Mar 8, 2022 @ 01:55:32.216",pamela.qin,VERSACE,10.86.3.101,
"Mar 8, 2022 @ 01:34:31.734","Mar 8, 2022 @ 03:54:18.793",Sherry.Xie,VERSACE,10.86.3.146,
"Mar 8, 2022 @ 01:35:22.450","Mar 8, 2022 @ 04:01:05.924",victo.chang,VERSACE,10.86.3.28,
"Mar 8, 2022 @ 01:35:52.496","Mar 8, 2022 @ 03:03:18.318",Kyna.Li,VERSACE,10.86.3.32,
